Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
0,3,0,0,3,2,"!!! RT @mayasolovely: Kaip moteris neturėtumėte skųstis, kad tvarkote namus. &amp; kaip vyras visada turėtumėte išnešti šiukšles..."
1,3,0,3,0,1,!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!!
2,3,0,3,0,1,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: Ar esi kada nors dulkinęs kalę ir ji pradėjusi verkti? You be confused as shit
3,3,0,2,1,1,!!!!!!!!! RT @C_G_Anderson: @viva_based ji atrodo kaip translytė
4,6,0,6,0,1,"!!!!!!!!!!!!! RT @ShenikaRoberts: Šūdas, kurį girdite apie mane, gali būti tiesa arba jis gali būti netikresnis už tą kalę, kuri jį jums papasakojo &#57361;"
5,3,1,2,0,1,"!!!!!!!!!!!!!!!!!!@T_Madison_x: Šūdas mane tiesiog išmuša iš vėžių... teigti, kad esi toks ištikimas ir kažkam nusileidi, bet vis tiek dulkiniesi su kurvomis! &#128514;&#128514;&#128514;&#128514;"
6,3,0,3,0,1,!!!!!!@__BrighterDays: Negaliu tiesiog sėdėti ir NENORĖTI kitos kalės... turiu per daug šūdų!
7,3,0,3,0,1,"!!!!&#8220;@selfiequeenbri: nes man jau atsibodo, kad jūs, didelės kalės, prieinate prie mūsų, liesų mergaičių!!!&#8221;"
8,3,0,3,0,1," &amp; you might not get ya bitch back &amp; thats that"
9,3,1,2,0,1," @rhythmixx_ :hobis: kovoti su Mariam kalė"
10,3,0,3,0,1," Keeks is a bitch she curves everyone  lol Aš vaikščiojau į tokį pokalbį. Smh"
11,3,0,3,0,1," Murda Gang bitch its Gang Land"
12,3,0,2,1,1," So hoes that smoke are losers ?  yea ... go on IG"
13,3,0,3,0,1," Bad bitches is the only thing that I like"
14,3,1,1,2,0,"1,,, kalė atsikelk nuo manęs"
15,3,0,3,0,1,", bitch nigga miss me with it"
16,3,0,3,0,1," bitch plz whatever"
17,3,1,2,0,1," bitch who do you love"
18,3,0,3,0,1," kalės kasdien nukerta B"
19,3,0,3,0,1," juodas butelis & amp; bloga kalė"
20,3,0,3,0,1,", broke bitch cant tell me nothing"
21,3,0,3,0,1," atšauk tą kalę kaip Nino"
22,3,0,3,0,1," Ar nematote, kad šios prostitutės nesikeičia"
23,3,0,3,0,1," fuck no that bitch dont even succk dick  &#128514;&#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up"
24,3,0,3,0,1," got ya bitch tip toeing on my hardwood floors  &#128514; http://t.co/cOU2WQ5L4q"
25,3,0,2,1,1," jos putės lūpos kaip Dangaus durys  &#128524;"
26,3,0,3,0,1," hoe what its hitting for"
27,3,0,3,0,1," aš sutikau tą putę Ocean Dr. aš daviau tai putei tabletę  &#128524;"
28,3,0,3,0,1," man reikia tripusės kalės, kuri dulkinasi ant Hennessy"
29,3,0,3,0,1," aš leidžiu pinigus kaip noriu, kalė, tai mano reikalas"
30,3,0,3,0,1," i txt my old bitch my new bitch pussy wetter"
31,3,0,3,0,1," sakyčiau, kad grįžau prie senojo savęs, bet mano senosios kalės susijaudintų  &#128524;"
32,3,0,3,0,1," if you aint bout that Murder Game pussy nigga shut up"
33,3,0,3,0,1," jei tavo pirštai nepadaryti, tavo putė smirdi"
34,3,0,3,0,1," im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that"
35,3,0,3,0,1," is that ya bitch"
36,3,0,3,0,1," it aint nothing to cut a bitch off"
37,3,0,3,0,1," jus susitinkate su sūnumi, dabar jis yra tavo užpakalio kalė  #Shots"
38,3,0,0,2,1,"1, lames verkia dėl hoes thats a tears of a clown"
39,3,0,3,0,1," kaip Snoop sakė 94 m., mes nemylime šių merginų"
40,3,0,1,2,2," mama sakė, kad į mano būdelę neis jokios katės"
41,3,0,3,0,1," labiausiai nekenčiamas, bet labiausiai mėgstamas  #2MW #SevenOne # http://t.co/BMdSVMc3rC"
42,3,0,3,0,1," nice girls bad, make me get naughty. Bad yello hoe hoe, real nice body. Down south chick, like em real thick http://t.co/bzRDl3kF7U"
43,3,0,3,0,1," pimps up pimps up hoes down  Future voice"
44,3,0,3,0,1," Post a picture of that pussy get 200 likes"
45,3,0,3,0,1," pussy is a powerful drug  &#128517; #HappyHumpDay http://t.co/R8jsymiB5b"
46,3,0,3,0,1," greitas putės gabalas vadinasi drive by"
47,3,0,3,0,1," running round here like some brand new pussy thats bout to get fucked"
48,3,0,0,3,0,"1, šitos kalės dar blogiau, kad jos siunčia vaikinus už tavęs"
49,3,1,1,2,0,"1, šios prostitutės mėgsta negrus, kurie leidžia pinigus, o ne apie juos kalba"
50,3,1,1,2,0,"1, mes nepasitikime šiais negrais, visos šios kalės"
51,3,0,3,0,1," yall niggas b cuffing hoes cause yall aint never have bitches"
52,3,0,3,0,1," you dodge a bullet  &#128517; &#8220;@DaRealKha: All da bitches I cut off pregnant or bound to be ....thank God &#128591;&#8221;"
53,3,0,3,0,0,"1, young Pill Chamberlain these bitches love my music"
54,3,0,2,1,1,"&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump tikriausiai švaresnė už daugumą šių twitterio merginų, bet........."
55,3,0,3,0,1,"&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gėjai niggas negalėjo sulaukti, kol šįvakar elgsis kaip kalės"
56,3,0,3,0,1,"&#128514;&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox Jis kalė, tu turėtum tai padaryti"
57,3,0,3,0,1,&amp; he's gone always be a hoe
58,3,0,3,0,1,...Son of a bitch took my Tic Tacs.
59,3,0,3,0,0,"1,...Viskas, ką noriu daryti, tai gauti pinigų ir dulkinti modelių kales! - Russell Simmons"
60,3,0,2,1,1,"@2015seniorprobs: Tikriausiai man ne taip trukdytų mokykla, jei nereikėtų susidurti su kalės užpakalio mokytojais. Retweet"
61,3,0,3,0,1,"@A7XDemery: Aš esu šūdinas pederastas, jie sakė"
62,3,0,3,0,1,"@ARIZZLEINDACUT: Moterys mano, kad dabar susitikinėti su pizduku yra miela? http://t.co/VxBJg26Gsz Kaip tai, kad jis daro šiuos dalykus, jį padaro pizduku?"
63,3,0,0,3,2,@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF woof woof hot scally lad
64,3,0,3,0,1,@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice Taip
65,3,0,3,0,1,@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;&#128553; AŠ PRISIEKIU!!!!!
66,3,0,1,2,2,@AllAboutManFeet: http://t.co/3gzUpfuMev woof woof ir karšti padai
67,3,0,1,2,2,@Allyhaaaaa: Lemmie valgyti Oreo &amp; padaryti šiuos indus. Lemmie valgyti Oreo &amp; padaryti šiuos indus. Vienas oreo? Lol
68,3,0,3,0,1,@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1 gal tau bus geriau. Tiesiog http://t.co/TPreVwfq0S
69,3,1,2,0,1,@Almightywayne__: Fuck Red Malone man bitch ass niggah gal galėtum naudoti pilnus sakinius?
70,3,0,0,3,2,@ArizonasFinest6: Why the eggplant emoji doe? y he say she looked like scream lmao
71,3,0,3,0,1,@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9 tai viena seksuali kalė
72,3,0,3,0,1,@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness&lt;lmao!!!
73,3,0,3,0,1,"@BRO_HEN314: #Eaglesnation ir kiekvienas #Eagles turi pamatyti tą nuotrauką, kurią ką tik paskelbiau, nes ta kalė ką tik pasakė patį rasistiškiausią šūdą"
74,3,1,2,0,1,"@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushping faggots man, ball is life http://t.co/VBCzP6HMT7"
75,3,0,1,2,2,@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R
76,3,0,3,0,1,@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514;&#128514;&#128514; I ain't shit . Damn Skippy lol
77,3,1,2,0,1,@BeEasyJrizzy: u ever kill a ant the walkwalk and think damn what if that nigga was on his way to get some pussy No bs must b &gt;30%chance
78,3,0,3,0,1,@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u 0 rings 0 mvps 0 bitches lol
79,3,1,2,0,1,"@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"
80,9,0,7,2,1,"@BestProAdvice: Faktai apie tatuiruotes... tatuiruotė http://t.co/ZwnbhpDZ8e jis yra pizda, kad netatuiruoja jų spenelių"
81,3,0,3,0,1,@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553;&#128553; that shit aint cuteeeeeee bet niggas elgiasi kaip kalės...
82,3,0,3,0,1,@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou woof woof
83,3,1,2,0,1,@BlackChiquitita: Wow. RT @thatmanpalmer Aš pasimetęs. Ar tai užpakalio auskarai? http://t.co/yn6guyOUQ6 yeah she's a hoe
84,3,0,3,0,1,"@BlackNerdJade: Ok, sis. Ji mieliau būtų suluošinta kalė? *shrugs* ji turės man papasakoti, kaip jai tai sekasi"
85,3,2,1,0,0,@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer gaywad
87,3,0,3,0,1,@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k it was not even funny lol
88,3,0,3,0,1,@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx fr ..... LULWHORE
89,3,0,3,0,1,@CASHandBOOBIES: I been kidnapped yo bitch
90,3,3,0,0,0,@CB_Baby24: @white_thunduh alsarabsss hes a beaner smh you can tell hes a mexican
91,3,1,2,0,1,@CCobey: @AydanMcCoy su gimtadieniu nigs Ačiū yo
92,6,1,1,5,0,"1,@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1 this bitch need to go!!!"
