Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
0.0,3.0,0.0,0.0,3.0,2.0,"!!! RT @mayasolovely: Kaip moteris neturėtumėte skųstis, kad tvarkote namus. &amp; kaip vyras visada turėtumėte išnešti šiukšles..."
2.0,3.0,0.0,3.0,0.0,1.0,!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: Ar esi kada nors dulkinęs kalę ir ji pradėjusi verkti? You be confused as shit
3.0,3.0,0.0,2.0,1.0,1.0,!!!!!!!!! RT @C_G_Anderson: @viva_based ji atrodo kaip translytė
4.0,6.0,0.0,6.0,0.0,1.0,"!!!!!!!!!!!!! RT @ShenikaRoberts: Šūdas, kurį girdite apie mane, gali būti tiesa arba jis gali būti netikresnis už tą kalę, kuri jį jums papasakojo &#57361;"
5.0,3.0,1.0,2.0,0.0,1.0,"!!!!!!!!!!!!!!!!!!@T_Madison_x: Šūdas mane tiesiog išmuša iš vėžių... teigti, kad esi toks ištikimas ir kažkam nusileidi, bet vis tiek dulkiniesi su kurvomis! &#128514;&#128514;&#128514;&#128514;"
6.0,3.0,0.0,3.0,0.0,1.0,!!!!!!@__BrighterDays: Negaliu tiesiog sėdėti ir NENORĖTI kitos kalės... turiu per daug šūdų!
7.0,3.0,0.0,3.0,0.0,1.0,"!!!!&#8220;@selfiequeenbri: nes man jau atsibodo, kad jūs, didelės kalės, prieinate prie mūsų, liesų mergaičių!!!&#8221;"
9.0,3.0,1.0,2.0,0.0,1.0, @rhythmixx_ :hobis: kovoti su Mariam kalė
10.0,3.0,0.0,3.0,0.0,1.0, Keeks is a bitch she curves everyone  lol Aš vaikščiojau į tokį pokalbį. Smh
14.0,3.0,1.0,1.0,2.0,0.0,"1,,, kalė atsikelk nuo manęs"
18.0,3.0,0.0,3.0,0.0,1.0, kalės kasdien nukerta B
19.0,3.0,0.0,3.0,0.0,1.0, juodas butelis & amp; bloga kalė
21.0,3.0,0.0,3.0,0.0,1.0, atšauk tą kalę kaip Nino
22.0,3.0,0.0,3.0,0.0,1.0," Ar nematote, kad šios prostitutės nesikeičia"
25.0,3.0,0.0,2.0,1.0,1.0, jos putės lūpos kaip Dangaus durys  &#128524;
27.0,3.0,0.0,3.0,0.0,1.0, aš sutikau tą putę Ocean Dr. aš daviau tai putei tabletę  &#128524;
28.0,3.0,0.0,3.0,0.0,1.0," man reikia tripusės kalės, kuri dulkinasi ant Hennessy"
29.0,3.0,0.0,3.0,0.0,1.0," aš leidžiu pinigus kaip noriu, kalė, tai mano reikalas"
31.0,3.0,0.0,3.0,0.0,1.0," sakyčiau, kad grįžau prie senojo savęs, bet mano senosios kalės susijaudintų  &#128524;"
33.0,3.0,0.0,3.0,0.0,1.0," jei tavo pirštai nepadaryti, tavo putė smirdi"
37.0,3.0,0.0,3.0,0.0,1.0," jus susitinkate su sūnumi, dabar jis yra tavo užpakalio kalė  #Shots"
39.0,3.0,0.0,3.0,0.0,1.0," kaip Snoop sakė 94 m., mes nemylime šių merginų"
40.0,3.0,0.0,1.0,2.0,2.0," mama sakė, kad į mano būdelę neis jokios katės"
41.0,3.0,0.0,3.0,0.0,1.0," labiausiai nekenčiamas, bet labiausiai mėgstamas  #2MW #SevenOne # http://t.co/BMdSVMc3rC"
46.0,3.0,0.0,3.0,0.0,1.0, greitas putės gabalas vadinasi drive by
48.0,3.0,0.0,0.0,3.0,0.0,"1, šitos kalės dar blogiau, kad jos siunčia vaikinus už tavęs"
49.0,3.0,1.0,1.0,2.0,0.0,"1, šios prostitutės mėgsta negrus, kurie leidžia pinigus, o ne apie juos kalba"
50.0,3.0,1.0,1.0,2.0,0.0,"1, mes nepasitikime šiais negrais, visos šios kalės"
54.0,3.0,0.0,2.0,1.0,1.0,"&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump tikriausiai švaresnė už daugumą šių twitterio merginų, bet........."
